id_inv,Site,xrd1,xrd2,xrd3,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th
MP-799,Can Figueres,Pectolite,Lopezite,,0.53457,39.31415,11.82767,26.68747,1.10115,1.31056,0.8924,9.14279,0.00535,0.17176,0.00535,0.18403,0.00535,1.77845,0.00535,0.00535,6.58624,0.10973,0.00053,0.00053,0.04331,0.0044,0.00053,0.00213,0.17003,0.00053,0.00346,0.00053,0.00053,0.00053,0.00053,0.00053,0.00756,0.00053,0.00053,0.00053,0.00053,0.09105,0.00053,0.00023,0.00053,0.00053,0.00053,1E-05,0.00053
MP-807,,Petalite,,,0.52029,50.39181,6.22291,26.85199,0.66245,2.39685,0.0052,5.36724,0.0052,0.08337,0.0052,0.12418,0.0052,0.66102,0.0052,0.0052,6.29389,0.28537,0.00052,0.00052,0.00052,0.00052,0.00052,0.00052,0.00885,0.00052,0.00052,0.00052,0.0039,0.00052,0.00052,0.00052,0.00052,0.00052,0.01034,0.00052,0.00052,0.07255,0.00052,0.00033,0.00052,0.00052,0.00052,1E-05,0.00052
MP-349,Can Sadurni,Sulphur,,,0.40239,5.57887,4.18692,6.53337,32.65113,49.71502,0.00402,0.18685,0.00402,0.00402,0.00402,0.14208,0.00402,0.34464,0.00402,0.00402,0.0004,0.03022,0.0004,0.0004,0.0004,0.12102,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.02734,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.04192,0.0004,0.0004,1E-05,0.0004
MP-788,,Hydroxylapatite,,,0.54853,8.70224,5.50659,23.83843,0.73605,2.31265,0.00549,53.59772,0.00549,0.08709,0.00549,0.00549,0.28296,0.73953,0.00549,0.00549,3.49183,0.09137,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.01784,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,1E-05,0.00055
MP-790,,Quartz,,,0.65085,4.77103,91.86329,0.93024,0.18535,0.58402,0.00651,0.55962,0.00651,0.06227,0.02849,0.00651,0.00651,0.28426,0.00276,0.00651,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00091,0.00065,0.00065,0.00143,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,0.02602,0.00065,0.00065,0.00065,0.00065,0.00065,1E-05,0.00065
MP-792,,Hematite,,,0.73153,19.85978,25.03133,0.8226,0.30165,2.50414,1.8149,1.83988,0.00732,0.25262,0.00732,0.07851,0.14501,46.48681,0.00732,0.00732,0.00073,0.01287,0.00073,0.00073,0.04364,0.00073,0.00073,0.00531,0.00073,0.00073,0.00481,0.00073,0.00465,0.00073,0.00073,0.00073,0.00073,0.00073,0.01387,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,1E-05,0.00073
MP-793,,Fe oxide,,,0.72016,15.49946,43.52985,0.39294,0.05885,0.84957,1.78963,0.71715,0.0072,0.32091,0.03167,0.05,0.0072,35.91277,0.0072,0.0072,0.00072,0.0477,0.00072,0.00072,0.00072,0.00072,0.00072,0.0091,0.00072,0.00072,0.00632,0.00072,0.00072,0.00072,0.00587,0.00072,0.00072,0.00072,0.00607,0.00662,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,8E-05,0.00072
MP-796,,Fe oxide,,,612,9.38892,12.98702,1.19282,0.58757,1.88745,1256,70.84436,0.00612,0.17746,0.00612,0.00612,0.00612,0.98104,0.00612,0.00612,0.00061,0.02855,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00356,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,1E-05,0.00061
MP-798,,Alunite,Variscite,Quartz,0.53747,27.42293,36.91286,26.01271,3.37908,1.35635,1.94243,1.08426,0.00537,0.12104,0.18316,0.56222,0.00537,0.30413,0.00537,0.00537,0.02808,0.01348,0.00054,0.00054,0.00054,0.00054,0.00054,0.00107,0.08576,0.00054,0.00813,0.00054,0.0042,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00731,0.00054,0.00054,0.00054,0.00054,1E-05,0.00054
MP-885,,Trolleite,Quartz,,0.60081,16.55877,29.15289,1.05152,14.0151,2.87098,4.12026,20.44833,0.00601,0.67151,0.00601,0.32666,0.00601,9.73144,0.00601,0.00601,0.21954,0.07039,0.0006,0.0006,0.0006,0.0006,0.0006,0.01982,0.02928,0.0006,0.02858,0.0006,0.00877,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.03211,0.0006,0.0006,0.0006,0.0006,0.0006,1E-05,0.0006
MP-1000,Cova Cassimanya,Antigorite,,,0.59826,51716,17.94342,0.58447,0.93509,3.22556,0.00598,19.5829,0.00598,0.30896,0.00598,0.1597,0.21083,4.42283,0.00598,0.14505,0.11015,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.00328,0.0006,0.00426,0.0006,0.00343,0.0006,0.00751,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.00013,0.0006
MP-958,Cova de Montnás,Braunite,Cinnabar,,0.61406,4.31656,2.80849,0.48413,0.73914,1.98839,0.00614,87.99879,0.00614,0.04644,0.00614,0.00614,0.00614,0.18363,0.00614,0.00614,0.00061,0.00404,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.72991,0.00061,0.00794,0.00061,0.00061,0.00061,0.00061,0.00061,0.00896,0.00061,0.01179,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,1E-05,0.00061
MP-762,Cova del Toll,Berlinite,Alunite,,0.61937,33.22876,56.98598,0.12478,0.32437,1.43128,5.23151,0.63424,0.00619,0.85543,0.00619,0.00619,0.00619,0.48013,0.00619,0.00619,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.01478,0.00919,0.00062,0.00645,0.00062,0.00062,0.00062,0.00072,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00099,0.00062,0.00062,0.00062,0.00062,1E-05,0.00062
MP-150,Dolmen de la Mota,Lizardite,,,51.82136,14.99979,29.10985,0.5538,0.11438,1.13722,0.00537,0.26551,0.00537,0.36823,0.00537,0.0127,0.12352,1.43861,0.00537,0.00537,0.00054,0.00197,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.01171,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,1E-05,0.00054
MP-151,,Lizardite,,,49.75104,14.42937,32.59739,0.05444,0.07149,0.82833,0.00544,0.30739,0.00544,0.17241,0.00544,0.01403,0.06817,1.65826,0.00544,0.00204,0.00054,0.00483,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00424,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00065,0.00054,1E-05,0.00054
MP-700,La Serreta estr. 5,Perovskite,Spinel,FeO,9.91325,0.99133,16.55444,5.6905,4.89478,1.02069,0.09913,0.69752,22.0515,0.09913,0.20627,0.61772,1.95241,0.09913,0.54669,0.09913,0.00991,0.04549,14.21805,0.00991,0.00991,0.03766,0.00991,0.00991,0.00991,11.15026,0.00991,0.02347,0.00991,0.00991,0.0134,0.00991,0.06526,8.63373,0.00991,0.08712,0.00991,0.00991,0.00991,0.00358,0.00991,0.00991,0.00991,1E-05,0.00991
MP-815,Marge del Moro,Calcite,,,0.60977,7.09751,2.98036,0.6467,0.6189,1.76722,0.54758,85.28474,0.0061,0.0061,0.0061,0.04316,0.0061,0.18311,0.0061,0.0061,0.00061,0.01502,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.13912,0.00061,0.00328,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.00061,0.0117,0.00061,0.00061,1E-05,0.00061
MP-829,Roca de L'ivet,Delhayelite,,,0.52671,35.99248,13.19205,36.77758,0.13192,0.94436,1.44334,0.32106,0.00527,0.29347,0.10091,0.13929,0.00527,9.91087,0.00527,0.00527,0.08272,0.00459,0.00053,0.00053,0.0445,0.0086,0.00053,0.00394,0.00053,0.00053,0.00664,0.00053,0.01812,0.00053,0.00793,0.00053,0.0052,0.00053,0.00053,0.00818,0.00053,0.00053,0.00498,0.00053,0.00053,0.00053,0.00053,0.00015,0.00053
MP-847,,Paragonite,,,0.53142,31.54114,5.49544,42.2373,0.38621,1.21829,0.00531,0.17728,0.00531,0.36759,0.54308,0.28372,0.00531,17.12629,0.00531,0.00531,0.01037,0.00053,0.00053,0.00053,0.00053,0.0035,0.00053,0.00053,0.00053,0.00053,0.00367,0.00053,0.00338,0.00053,0.01229,0.00053,0.00053,0.00053,0.00949,0.00633,0.00053,0.00053,0.00549,0.00053,0.00053,0.00053,0.00053,0.00023,0.00053
MP-184,Sepulcro de MontjuÏc D'altés,Variscite,,,0.48629,40.87819,3.10125,45.70752,0.15578,1.23814,0.00486,1.22136,0.00486,0.26129,0.11961,0.57508,0.00486,5959,0.00486,0.00486,0.00689,0.00049,0.00049,0.00049,0.16506,0.00049,0.00049,0.00049,0.01149,0.00049,0.00261,0.00049,0.0034,0.00049,0.00049,0.00969,0.00049,0.00049,0.00655,0.00049,0.00049,0.05099,0.00578,0.00049,0.00049,0.00049,0.00049,1E-05,0.00049
